Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,3,LD1,12621,0.642857142857143,0.857142857142857,0.978021978021978,1,1,0.0116599184175854,3,Unpooled,antiberta2-cssp,paired_chain,101.284258467372,13.3333333333333,,,0.142857142857143
hb,4,LD1,12621,0.557692307692308,0.823008849557522,0.95,1,1,0.0128158253187282,3,Unpooled,antiberta2-cssp,paired_chain,186.627178023473,13.3333333333333,,,0.176991150442478
hb,5,LD1,12621,0.52,0.805970149253731,0.9375,0.996670366259711,1,0.0139717322198711,3,Unpooled,antiberta2-cssp,paired_chain,230.207524034251,13.3333333333333,,,0.19070021700598
hb,6,LD1,12621,0.402390438247012,0.75,0.899122807017544,0.981818181818182,1,0.0151276391210139,3,Unpooled,antiberta2-cssp,paired_chain,426.157405022205,13.3333333333333,,,0.231818181818182
hb,7,LD1,12621,0.336842105263158,0.708705357142857,0.853211009174312,0.957393483709273,1,0.0162835460221568,3,Unpooled,antiberta2-cssp,paired_chain,762.17564323177,13.3333333333333,,,0.248688126566416
hb,8,LD1,12621,0.314253647586981,0.691666666666667,0.833819241982507,0.943333333333333,1,0.0174394529232996,3,Unpooled,antiberta2-cssp,paired_chain,936.637193582623,13.3333333333333,,,0.251666666666667
hb,9,LD1,12621,0.25,0.654761904761905,0.806010928961749,0.924834636199639,1,0.0185953598244425,3,Unpooled,antiberta2-cssp,paired_chain,1183.04569856464,13.3333333333333,,,0.270072731437734
hb,10,LD1,12621,0.228609625668449,0.628571428571429,0.772886443221611,0.895447723861931,1,0.0197512667255853,3,Unpooled,antiberta2-cssp,paired_chain,1528.39575884347,13.3333333333333,,,0.266876295290502
hb,11,LD1,12621,0.238235294117647,0.623811905952977,0.763221153846154,0.88144072036018,1,0.0209071736267282,3,Unpooled,antiberta2-cssp,paired_chain,1665.51665653433,13.3333333333333,,,0.257628814407204
hb,12,LD1,12621,0.230443974630021,0.616808404202101,0.753846153846154,0.874437218609305,1,0.022063080527871,3,Unpooled,antiberta2-cssp,paired_chain,1751.86319282012,13.3333333333333,,,0.257628814407204
hb,13,LD1,12621,0.226113056528264,0.609304652326163,0.745372686343172,0.864932466233117,1,0.0232189874290139,3,Unpooled,antiberta2-cssp,paired_chain,1850.24179538171,13.3333333333333,,,0.255627813906954
hb,14,LD1,12621,0.226613306653327,0.606803401700851,0.742371185592796,0.860430215107554,1,0.0243748943301567,3,Unpooled,antiberta2-cssp,paired_chain,1899,13.3333333333333,,,0.253626813406703
hb,0,LD1,12348,0.642857142857143,0.857142857142857,1,1,1,0.000371183316829615,2,Unpooled,esm2,paired_chain,19.0000103040732,3.125,,,0.142857142857143
hb,1,LD1,12348,0.705882352941177,0.882352941176471,1,1,1,0.000428885707359782,2,Unpooled,esm2,paired_chain,37.874887943204,3.125,,,0.117647058823529
hb,2,LD1,12348,0.652173913043478,0.860768452982811,1,1,1,0.000486588097889949,2,Unpooled,esm2,paired_chain,72.7597399251924,3.125,,,0.139231547017189
