Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,sample_size,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,0,LD1,629,0.222222222222222,0.6875,0.944444444444444,1,1,0.0599342018963405,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,19,0,,,0.3125
hb,1,LD1,629,0.2,0.675675675675676,0.884615384615385,1,1,0.065332042642509,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,32.3124,0,,,0.324324324324324
hb,2,LD1,629,0.197530864197531,0.633333333333333,0.818181818181818,0.978494623655914,1,0.0707298833886774,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,53.4424,0,,,0.345161290322581
hb,3,LD1,629,0.1,0.602040816326531,0.777777777777778,0.95,1,0.0761277241348459,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,86.5224,0,,,0.347959183673469
hb,4,LD1,629,0.0641025641025641,0.565022421524664,0.736842105263158,0.909090909090909,1,0.0815255648810143,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,136.4632,0,,,0.344068487566245
hb,5,LD1,629,0.118110236220472,0.533762057877814,0.697478991596639,0.872832369942197,1,0.0869234056271828,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,210.5864,0,,,0.339070312064383
hb,6,LD1,629,0.126760563380282,0.518867924528302,0.664819944598338,0.823361823361823,1,0.0923212463733512,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,317.768,0,,,0.304493898833522
hb,7,LD1,629,0.113207547169811,0.5,0.638655462184874,0.777777777777778,1,0.0977190871195197,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,467.1808,0,,,0.277777777777778
hb,8,LD1,629,0.150943396226415,0.490056818181818,0.609756097560976,0.728770595690748,0.992822966507177,0.103116927865688,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,668.2982,0,,,0.23871377750893
hb,9,LD1,629,0.192982456140351,0.479627473806752,0.584834834834835,0.680933852140078,0.965087281795511,0.108514768611857,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,920.1436,0,,,0.201306378333326
hb,10,LD1,629,0.235294117647059,0.475609756097561,0.561450638012089,0.639219934994583,0.883076923076923,0.113912609358025,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,1202.2454,0,,,0.163610178897022
hb,11,LD1,629,0.282051282051282,0.47335092348285,0.541065830721003,0.609006433166548,0.802407221664995,0.119310450104194,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,1466.9806,0,,,0.135655509683698
hb,12,LD1,629,0.291310541310541,0.470235117558779,0.528764382191096,0.590296495956873,0.769556025369979,0.124708290850362,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,1675.3144,0,,,0.120061378398094
hb,13,LD1,629,0.311864406779661,0.469734867433717,0.52176088044022,0.576288144072036,0.711034482758621,0.13010613159653,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,1813.5742,0,,,0.106553276638319
hb,14,LD1,629,0.315258511979823,0.468234117058529,0.518099547511312,0.571785892946473,0.715780998389694,0.135503972342699,1,2500,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_2500,1899,0,,,0.103551775887944
hb,0,LD1,611,0.142857142857143,0.636363636363636,0.80952380952381,1,1,0.00438107623471005,1,2500,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_2500,19,0,,,0.363636363636364
hb,1,LD1,611,0.153846153846154,0.601874913518749,0.763440860215054,0.916666666666667,1,0.0049139201543823,1,2500,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_2500,37.0028,0,,,0.314791753147918
hb,2,LD1,611,0.19047619047619,0.6,0.725274725274725,0.875,1,0.00544676407405455,1,2500,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_2500,68.2004,0,,,0.275
hb,3,LD1,611,0.257142857142857,0.585190131440219,0.695431472081218,0.817541613316261,1,0.0059796079937268,1,2500,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_2500,120.5568,0,,,0.232351481876042
hb,4,LD1,611,0.2875,0.57389068623583,0.666666666666667,0.769642122583299,1,0.00651245191339905,1,2500,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_2500,202.6816,0,,,0.19575143634747
